statement,response,n
I think I learned a lot from this workshop,Agree,4
I think I learned a lot from this workshop,Strongly agree,15
I think the content on the website clearly communicated the concepts,Agree,2
I think the content on the website clearly communicated the concepts,Strongly agree,17
I think the instructors clearly communicated the concepts,Agree,4
I think the instructors clearly communicated the concepts,Neutral,1
I think the instructors clearly communicated the concepts,Strongly agree,14
I think there was a good mix of learning activities that encouraged my active participation,Agree,5
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,14
I think there was good alignment between the learning activities,Agree,3
I think there was good alignment between the learning activities,Strongly agree,16
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,3
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,1
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,15
"In general, I think this was a good workshop",Agree,2
"In general, I think this was a good workshop",Strongly agree,17
